Model,Scaling,Feature Set,MSE,MAE,RMSE,R²
Linear Regression,Standardization,All Features,2127947.173290157,980.0224543319107,1458.7484955571188,0.8562004290543993
Decision Tree,Standardization,All Features,1619263.349182323,744.9471787029523,1272.502789459545,0.8905755848720949
KNN,Standardization,All Features,2110319.3971449966,974.8170151675926,1452.693841504464,0.8573916553584244
Linear Regression,Standardization,Numeric Only,2134933.211359913,983.1345290248345,1461.1410648393648,0.8557283359077037
Decision Tree,Standardization,Numeric Only,1653845.2495942826,751.4718026340428,1286.0191482222504,0.8882386554106203
KNN,Standardization,Numeric Only,2095571.5442107236,970.3204856126335,1447.608905820465,0.8583882660595437
Linear Regression,Normalization,All Features,2127944.864471475,980.0273564644324,1458.7477041872166,0.8562005850766634
Decision Tree,Normalization,All Features,1618566.3783471694,744.424162037326,1272.228901710368,0.8906226838359764
KNN,Normalization,All Features,3070292.4541857564,1187.5082235815491,1752.2250010160672,0.7925198787210563
Linear Regression,Normalization,Numeric Only,2134972.5814014054,982.3502301593442,1461.1545371388358,0.8557256754116417
Decision Tree,Normalization,Numeric Only,1656747.5282363773,751.680161974908,1287.147049966078,0.8880425291022531
KNN,Normalization,Numeric Only,2999378.6486670617,1176.9920432557267,1731.871429600668,0.7973119971231035
Linear Regression,No Scaling,All Features,2127929.7324157683,980.0241472950568,1458.7425175183482,0.8562016076505061
Decision Tree,No Scaling,All Features,1619085.3133309407,744.5413909868298,1272.4328325420327,0.8905876159409875
KNN,No Scaling,All Features,2830467.440309594,1123.8750390112975,1682.3993106006653,0.8087264530807444
Linear Regression,No Scaling,Numeric Only,2134940.3800106957,982.9608069975552,1461.1435179374735,0.8557278514741992
Decision Tree,No Scaling,Numeric Only,1655522.4182557268,751.2878643655202,1286.6710606272788,0.8881253179476671
KNN,No Scaling,Numeric Only,2830959.748008863,1123.9212065414142,1682.5456154318263,0.808693184568811
